Date;Contenu_retour;Source;Twitter_hashtag;Twitter_user;Twitter_comments;Twitter_retweet;Twitter_like;Twitter_views
10/01/2023;"Si quelqu'un au COP de #Lille peut aider notre TER Hauts-de-France 847945 à redémarrer...
On est coincés avant #Compiegne sans avoir d'informations et le chef de bord n'en a pas non plus.
#TERHdF";Twitter;#TERHdF;;;;;
10/01/2023;Perso, mon numéro de carte pass-pass n'est pas reconnu. De plus, même si on s'identifie et qu'on indique son numéro de carte on doit fournir les justificatifs ?? alors que les achats passés ont été enregistrés sur cette carte ? La #SNCF n'a pas trace des achats ?! #TERHDF;Twitter;#TERHdF;;;;;
14/01/2023;"TÉMOIGNAGE. Les retards de train, un ""enfer du quotidien"" pour Laurent, habitant de l'Oise qui travaille en région parisienne

#SNCF #Transport #TERHDF";Twitter;#TERHdF;;;;;
15/01/2023;Comme un dimanche matin ?? #TerHDF 848556 Amiens/ParisNord;Twitter;#TERHdF;;;;;
16/01/2023;#TERHDF Quelle pagaille ??;Twitter;#TERHdF;;;;;
18/01/2023;"#TERHDF
 tu rigoles ou quoi ? Deux jours sans chauffage dans le train ? On paie pour quoi ? 

Jamais à l'heure
Pas chauffé

#honteux #terhdf #K44 @xavierbertrand";Twitter;#TERHdF;;;;;
23/01/2023;"Parmi les causes de retard auxquelles nous sommes quotidiennement habitués, celle-ci est une première pour moi.... En attendant, c'est encore les passagers qui se gèlent les miches ! #terhdf @FDhersin
 @SNCFvamtuer
 @Saccagedutrain
 @SNCFmefatigue";Twitter;#TERHdF;;;;;
26/01/2023;#TERHDF m'a plus belle rencontre dans un TER juin 2021 ?? il se reconnaîtra??.  Belle journée;Twitter;#TERHdF;;;;;
27/01/2023;S'il y a des gens qui n'ont pas pu monter dans le #TERHdF 843914 #Lille -> #Amiens ce midi, ce n'est pas du tout parce qu'il était bondé, c'est juste parce que les gens s'agglutinent dans les entrées et les bloquent, pendant que d'autres monopolisent des sièges pour leur sac;Twitter;#TERHdF;;;;;
28/01/2023;"Je fais volontiers, et même avec plaisir voire avec passion, la promotion des déplacements par #train.
Mais quand il n'y a que trois trains dans la journée pour faire un trajet, découvrir qu'un d'entre eux a 30mn de retard complique qd même la tâche.
#TERHdF";Twitter;#TERHdF;;;;;
30/01/2023;"Bonjour à toutes les équipes #terhdf @TERHDF
 tout horizon confondu.
Du coup à l'annonce de ce mouvement, auriez vous la possibilité de me dire quels sont les trains qui partiront ou non de Boulogne vers Paris nord ?

Merci beaucoup ??
Et très belle semaine à tous et toutes ??";Twitter;#TERHdF;;;;;
01/02/2023;"Il faut une prime à l'infographiste qui a fait ça ???? c'est carré très claire et efficace je valide #TERHDF @TERHDF
 @SNCFVoyageurs";Twitter;#TERHdF;;;;;
08/02/2023;"La preuve qu’on peut faire dire n’importe quoi aux statistiques: 100% de circulation #TERHDF un jour de grève où des dizaines de trains sont supprimés… Ceux qui restent circulent, mais le dénominateur devrait être le nb de trains contractuellement prévus avec @hautsdefrance
 !!!";Twitter;#TERHdF;;;;;
08/02/2023;". @TERHDF
  #terhdf Bonjour, je voulais savoir y a des trains  qui passent cet après-midi lille douai ou pas du tout ? Et Lille Cantin ?merci bien";Twitter;#TERHdF;;;;;
22/02/2023;"Il y a peu de choses qui me dégoutent, mais les ""clic-clic"" du gars qui se coupe les ongles dans le train, ça en fait partie...
#terhdf 
#sncf";Twitter;#TERHdF;;;;;
22/02/2023;#TerHDF 848536 Amiens/Paris Nord départ 6h22;Twitter;#TERHdF;;;;;
23/02/2023;Pas un jour sans annulations et retards sur #TERHDF et vous vous osez vous autocongratuler ??, un peu de sérieux Monsieur le ministre …;Twitter;#TERHdF;;;;;
25/02/2023;Retour maison avec #TERHDF, fin des congés ??;Twitter;#TERHdF;;;;;
15/03/2023;"On ne change pas une équipe qui gagne !Le train amien-paris 5h38 est en retard ?????????? @TERHDF
 #SNCF #terhdf #TRAIN @xavierbertrand
 #SNCF";Twitter;#TERHdF;;;;;
16/03/2023;#JPFarandou #sncf #terhdf demain il semblerait que destrains roulent demain mais l'appli refuse que l'on achète des billets normal ? #voixdunord #tf1;Twitter;#TERHdF;;;;;
17/03/2023;#JPFarandou #xavierbertrand #sncf #terhdf #dgccrf sncf connect refuse d'appliquer la réduction de la carte ter hdf est ce un bug ou une fraude à grande échelle ? #lavoixdunord #bfmtv;Twitter;#TERHdF;;;;;
17/03/2023;#JPFarandou #sncf #terhdf pourquoi le peu de train terhdf refuse la réduction de la carte terhdf ? C'est du vol #lavoixdunord #bfmtv;Twitter;#TERHdF;;;;;
18/03/2023;#terhdf #SNCF #jpfarandou #xavierbertrand vous faites des promos sur la carte ter hdf et en même temps l'appli n'accepte plus la reduction de la carte. On donne d'un côté et on reprend de l'autre;Twitter;#TERHdF;;;;;
21/03/2023;"Coucou @TERHDF
 @SNCFVoyageurs
 le ter qui va vers chantilly à 18 h37 il part quand ? On est dedans et toujours rien #TerHdF #SNCF #HONTE";Twitter;#TERHdF;;;;;
22/03/2023;"Signalisation... Régulation du trafic... Problème de matériel... etc. ""Merci de votre compréhension"" ""Merci de votre compréhension"" ""Merci de votre compréhension"" ""Merci de votre compréhension"" ""Merci de votre compréhension"" ""Merci de votre compréhension"" #TERHDF #Servicepublic";Twitter;#TERHdF;;;;;
